order_id,carrier,promised_date,delivered_date,days_late
MF-01181,Northwind Freight,2026-08-23,2026-08-22,0
MF-01185,Kessler Logistics,2026-08-21,2026-08-22,1
MF-01186,Kessler Logistics,2026-08-22,2026-08-22,0
MF-01190,Northwind Freight,2026-08-22,2026-08-22,0
MF-01193,Northwind Freight,2026-08-22,2026-08-22,0
MF-01194,Harbour Express,2026-08-22,2026-08-22,0
MF-01195,Harbour Express,2026-08-22,2026-08-22,0
MF-01196,Northwind Freight,2026-08-21,2026-08-22,1
MF-01205,Kessler Logistics,2026-08-22,2026-08-22,0
MF-01206,Redwood Couriers,2026-08-22,2026-08-22,0
MF-01209,Kessler Logistics,2026-08-22,2026-08-22,0
MF-01211,Redwood Couriers,2026-08-22,2026-08-22,0
MF-01214,Kessler Logistics,2026-08-22,2026-08-22,0
MF-01217,Northwind Freight,2026-08-22,2026-08-22,0
MF-01220,Kessler Logistics,2026-08-22,2026-08-22,0
MF-01223,Northwind Freight,2026-08-22,2026-08-22,0
MF-01225,Kessler Logistics,2026-08-23,2026-08-22,0
MF-01226,Harbour Express,2026-08-22,2026-08-22,0
MF-01227,Northwind Freight,2026-08-23,2026-08-22,0
MF-01231,Harbour Express,2026-08-23,2026-08-22,0
MF-01233,Northwind Freight,2026-08-22,2026-08-22,0
MF-01234,Kessler Logistics,2026-08-22,2026-08-22,0
MF-01238,Redwood Couriers,2026-08-23,2026-08-22,0
MF-01241,Redwood Couriers,2026-08-22,2026-08-22,0
MF-01242,Harbour Express,2026-08-22,2026-08-22,0
MF-01245,Kessler Logistics,2026-08-23,2026-08-22,0
MF-01275,Harbour Express,2026-08-23,2026-08-22,0
MF-01182,Kessler Logistics,2026-08-23,2026-08-23,0
MF-01187,Redwood Couriers,2026-08-23,2026-08-23,0
MF-01189,Redwood Couriers,2026-08-23,2026-08-23,0
MF-01192,Northwind Freight,2026-08-23,2026-08-23,0
MF-01203,Kessler Logistics,2026-08-23,2026-08-23,0
MF-01207,Kessler Logistics,2026-08-23,2026-08-23,0
MF-01213,Kessler Logistics,2026-08-22,2026-08-23,1
MF-01219,Kessler Logistics,2026-08-23,2026-08-23,0
MF-01221,Kessler Logistics,2026-08-23,2026-08-23,0
MF-01224,Harbour Express,2026-08-23,2026-08-23,0
MF-01228,Kessler Logistics,2026-08-23,2026-08-23,0
MF-01237,Kessler Logistics,2026-08-23,2026-08-23,0
MF-01246,Harbour Express,2026-08-23,2026-08-23,0
MF-01247,Kessler Logistics,2026-08-24,2026-08-23,0
MF-01253,Northwind Freight,2026-08-23,2026-08-23,0
MF-01255,Northwind Freight,2026-08-23,2026-08-23,0
MF-01261,Kessler Logistics,2026-08-23,2026-08-23,0
MF-01263,Northwind Freight,2026-08-24,2026-08-23,0
MF-01269,Kessler Logistics,2026-08-24,2026-08-23,0
MF-01273,Redwood Couriers,2026-08-23,2026-08-23,0
MF-01210,Kessler Logistics,2026-08-24,2026-08-24,0
MF-01212,Redwood Couriers,2026-08-24,2026-08-24,0
MF-01216,Northwind Freight,2026-08-24,2026-08-24,0
MF-01218,Redwood Couriers,2026-08-22,2026-08-24,2
MF-01222,Harbour Express,2026-08-24,2026-08-24,0
MF-01232,Kessler Logistics,2026-08-25,2026-08-24,0
MF-01235,Kessler Logistics,2026-08-24,2026-08-24,0
MF-01239,Redwood Couriers,2026-08-24,2026-08-24,0
MF-01240,Kessler Logistics,2026-08-24,2026-08-24,0
MF-01243,Northwind Freight,2026-08-25,2026-08-24,0
MF-01244,Kessler Logistics,2026-08-25,2026-08-24,0
MF-01248,Kessler Logistics,2026-08-24,2026-08-24,0
MF-01250,Northwind Freight,2026-08-24,2026-08-24,0
MF-01251,Harbour Express,2026-08-24,2026-08-24,0
MF-01252,Redwood Couriers,2026-08-24,2026-08-24,0
MF-01254,Kessler Logistics,2026-08-23,2026-08-24,1
MF-01268,Kessler Logistics,2026-08-24,2026-08-24,0
MF-01272,Northwind Freight,2026-08-24,2026-08-24,0
MF-01274,Redwood Couriers,2026-08-25,2026-08-24,0
MF-01276,Kessler Logistics,2026-08-25,2026-08-24,0
MF-01295,Northwind Freight,2026-08-24,2026-08-24,0
MF-01300,Harbour Express,2026-08-25,2026-08-24,0
MF-01303,Kessler Logistics,2026-08-25,2026-08-24,0
MF-01304,Kessler Logistics,2026-08-25,2026-08-24,0
MF-01308,Northwind Freight,2026-08-25,2026-08-24,0
MF-01309,Harbour Express,2026-08-25,2026-08-24,0
MF-01310,Northwind Freight,2026-08-24,2026-08-24,0
